"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123"
6988.6791753389,552.519003200466,1035.97313100087,10359.7313100087,30911.1027727457,20889.1339599272,2377.77713636506,12086.3531950102,NA,4489.21690100379,25415.8741472214,7265.43013889323,5944.44284091264,2641.97459596117,1035.97313100087,1312.23263260111,2245.678406567,525.925804724917,2377.77713636506,2234.51643232101,NA,414.38925240035,1188.88856818253,1453.08602777865,47.4806460577556,138.129750800117,NA,NA,NA,NA,NA,1188.88856818253,2624.46526520222,345.324377000291,69.0648754000583,NA,1122.8392032835,35430.2810802299,39629.6189394176,1254.93793308156,69.0648754000583,NA,NA,207.194626200175,4212.95739940356,15332.4023388129,1864.75163580157,1320.98729798059,2641.97459596117,15917.8969406661,7397.52886869129,2840.12269065826,6208.64030050876,11096.2933030369,8982.71362626799,10435.7996540466,660.493648990293,10255.8195484752,2071.94626200175,759.713629400641,NA,4627.34665180391,5456.1251566046,966.908255600816,22584.2142558191,3107.91939300262,345.324377000291,1381.29750800117,3302.46824495147,NA,10359.7313100087,11888.8856818253,47654.6167746497,13980.1673303801,NA,2492.42703641238,660.493648990293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,14680.8141777988,49.5235782251166,114.668405345474,252623.894199307,129922.562109255,131017.593334612,88005.4483080454,NA,NA,NA,29625.4847913525,16107.1434926193,9669.08255600816,6245.17159621691,379.717034865618,759.639098502858,690.648754000583,1215.42255760457,11741.0288180099,4972.6710288042,21133.8518724178,1933.81651120163,9419.92768971848,17209.9623397641,NA,7279.18426591616,1899.09770778704,47964.5146226838,32083.619611815,4254.52587951153,4178.76662310197,19241.8800532089,5907.59475317816,NA,3280.1058526667,4205.83477225998,34475.8828226921,30044.3390304489,4282.02227480361,4176.8873835218,2278.91729550857,20007.4280742458,3453.24377000291,4219.7105379844,1795.68676040152,1772.81008252811,6215.83878600525,276.259501600233,2194.24947975189,843.94210759688,NA,NA,NA,NA,NA,126.629291609151,NA,NA,NA,276.259501600233,2170.22978609998,276.259501600233,NA,NA,NA,467.392535063496,552.519003200466,NA,NA,NA,NA,126.629291609151,126.629291609151,NA,303.855639401143,1211.28741071638,4178.76662310197,6077.70903520513,9338.55191111584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,45804.4684362226,6192.95108959132,4388.49895950378,4102.05113191543,NA,584.24066882937,886.405041264054,607.711278802286,151.927819700572,7471.12820493988,651.068935829995,126.629291609151,NA,NA,NA,NA,NA,NA,759.639098502858,3038.85451760257,3797.90212567497,1519.02573895636,9243.93828746799,128655.360274897,11068.1719091099,3505.44401297622,2886.62857431086,1266.29291609151,21526.9795735556,6229.04060772343,1302.13787165999,1051.63320389287,1986.41827401986,268.141971878521,2026.06866574641,1657.5570096014,506.517166436602,1519.27819700572,5824.94741402093,1519.55149930981,17981.3594084994,14918.0130864126,8610.79182942224,9370.56757907714,26106.522901222,2900.72476680245,4834.54127800408,3453.24377000291,4305.39591471112,138.129750800117,817.936936361118,2659.21512379216,4558.65449792942,633.146458045753,253.258583218301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1795.68676040152,2624.46526520222,217.022978609998,506.517166436602,1856.67263671314,NA,NA,NA,NA,690.648754000583,116.848133765874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
357.522629171362,675.153686077504,151.927808159541,202.570416008735,75.9639040797706,NA,NA,NA,NA,NA,NA,178.761314585681,94.9612876066878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319.829850519524,NA,NA,1772.81008252811,690.648754000583,1986.41827401986,633.146458045753,633.146458045753,350.544401297622,NA,NA,NA,2152.69795735556,54390.1594528046,23806.3068225203,5445.05953919347,690.648754000583,379.887874827452,253.258583218301,379.887874827452,NA,434.045957219996,1519.42725880128,633.146458045753,3255.34467914997,552.519003200466,NA,NA,NA,1657.5570096014,1168.48133765874,1519.27819700572,2886.62857431086,2061.71829679498,911.566872039307,126.629291609151,817.936936361118,3453.24377000291,5801.4495336049,27149.7679928917,2804.35521038098,828.778504800699,868.091914439993,569.767725640127,1627.67233957499,9807.21230680828,2387.25276470998,542.557446524995,6906.48754000583,108.511489304999,151.927819700572,1795.68676040152,506.517166436602,4972.6710288042,6331.46458045753,19630.4864726668,13929.2220770066,8011.52554640676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9296.40394075642,653.693139874281,NA,1842.87944499189,3418.37587401668,15002.5709935845,10181.7347935895,423.618842745124,NA,NA,NA,NA,649.877965674194,NA,569.767725640127,4204.85690736903,NA,2345.44651941896,675.153686077504,1286.29895288596,12496.7558609811,2659.08695059006,10196.3284825692,NA,NA,9563.22051484928,10581.9744036162,239.872387889643,75660.0503792625,NA,NA,NA,101.285208004367,1721.78776061054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,547.992693495541,NA,NA,NA,NA,NA,NA,NA,415.949866236563,NA,227.914499613518,NA,NA,NA,NA,108.511489304999,NA,NA,184.341944899528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6426.64735712307,2278.30220919371,868.091914439993,434.045957219996,126.629291609151,1265.91316139532,253.258583218301,NA,NA,NA,NA,NA,607.711278802286,NA,NA,233.696267531748,NA,126.629291609151,NA,NA,NA,NA,NA,NA,NA,NA
2183.28078146169,1534.60754867315,633.105789083158,349.311358854371,253.258583218301,104.793407656311,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.3806572928404,NA,NA,1012.93313020648,1091.64039073085,1229.45827697219,266.533281566647,4419.42884038238,299.861793699284,969.87085415233,225.096251156995,NA,NA,1150.79883852175,NA,NA,NA,NA,597.389153375825,269.683987000872,23724.6974853155,211.001357582735,97.3936675416514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.3099104059975,443.626790976808,101.982717396814,314.380222968933,212.515325011375,165.123423153871,NA,NA,NA,1050.9586940749,NA,604.169372841983,417.339522311513,NA,3323.64506623407,97.3936675416514,1229.45827697219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.27906673033,1991.07474546991,11847.170733208,4105.59761284132,7726.4158560476,1336.96469149175,110.906697744202,759.639098502858,NA,253.258583218301,155.0249636699,115.079883852175,NA,NA,332.720093232606,212.515325011375,342.716570311903,3714.08814409041,3308.46968238691,10711.751015063,2506.96826576341,38687.4799300067,8700.91108342887,6904.79303113049,4919.06122012176,NA,NA,NA,3827.37828067209,1051.63320389287,NA,NA,NA,NA
19624.532057781,975.716608965226,178.309282085819,2196.32169194374,3587.28005357286,15188.465829251,6909.43055614007,600.852068318082,5234.4170879849,5349.27846257458,196.065091257516,203.225865124887,1370.61841846168,2257.96571920318,317.941537678069,NA,NA,NA,NA,NA,776.321325262346,1368.37922549935,NA,NA,1040.73363326409,1482.14516021662,236.82612571981,526.40202243657,261.862667454527,222.350868812755,NA,NA,NA,NA,NA,NA,484.193971036403,198.9499161106,1283.18292948143,2246.04226374334,1440.26411997787,NA,219.320620968033,10171.1062737917,12224.3410233477,3168.90544221004,3666.17088807351,704.542978729302,NA,NA,840.447566343997,272.784706307255,101.612932562443,5496.137510848,98.0325456287582,8554.03286459427,423.920152434904,408.886543879128,2433.10825784291,412.510834854897,3887.38907659219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.423806858373,NA,95.9741253757987,259.159271772813,NA,NA,NA,NA,NA,NA,78.5162501549715,NA,NA,NA,NA,1185.58727153505,719.354742906212,11396.9235041085,357.323528852133,NA,NA,509.242941256281,100.399086368314,NA,728.545665808979,651.554299069287,458.683464441449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,214.736922575099,NA,2483.32850835339,1104.59652807638,848.981542446646,1965.73088921344,128.777378553596,151.650798558984,2103.47836441035,205.832694794573,4493.65267935128,856.597415957086,75.5878238295755,NA,NA,NA,NA,207.087986715444,269.884044320358,212.105167115187,357.894870958499,751.15212652106,9272.16764877942,NA,1091.80821151382,2957.37976153128,5306.42380400658,1289.91769103104,311.299376672806,325.678986950759,NA,234.124888771167,150.200318409655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971.32721000771,1370.48953810163,712.733990569104,72.4582182364728,2183.64468607126,NA,NA,NA,NA,6210.92310388087,4223.9830802146,409.684113064621,NA,NA,NA,NA,641.724087306134,225.116672343359,231.321002535972,295.339462070181,2628.54821151702,1181.35784828072,1401.10296300093,523.820826936483,244.872812245077,NA,NA,NA,NA,NA,NA,NA,NA,144.748698166396,156.454160456414,NA,523.820826936483,941.453675446012,764.944783608212,9779.82690290252,148.228509960326,NA,1348.38490456132,6119.5582688657,6520.53836369263,764.944783608212,154.036021015442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.8487436428633,507.686113921718,1552.16377980666,566.97060307033,541.57371263093,4742.41319276118,15177.3449037401,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,73.330276927391,231.143950673881,1294.61267648484,87.8982328323984,NA,NA,NA,247.356541863198,306.520057101621,409.844072090479,471.690956261434,6483.43742758758,775.539544800166,384.143538152522,405.459265737597,336.801944290264,627.594993226457,65.9179095268782,67.7632752321976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.477917893775,79.9941060342674,143.855396555383,1114.69961817822,5198.07730145048,2106.82779298165,601.498151445806,4961.33110454114,4131.69582850516,8196.99413741043,674.372597453959,76.0783555328707,NA,NA,NA,NA,NA,NA,NA,NA,705.588827988733,617.253326088837,NA,NA,NA,NA,NA,649.942772538878,1939.37166148357,1434.8804956192,3272.90281933304,76.0937718769594,80.9525787079661,3973.12279880563,1357.41967379776,353.911919392455,NA,80.6361287433206,NA,76.8146559905561,NA,NA,NA,NA,NA,NA,213.908029102045,503.433669341745,2133.83801921791,5515.74557673593,3816.40888196581,3058.23992772409,NA,1239.55194426274,4784.20828529191,160.919118510816,1051.20312299833,2678.93659314276,8149.66064673757,1572.42841126551,214.676056692798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.8233327584407,NA,NA,NA,72.3758891016097,141.068266249142,1650.46274849311,2153.38256922945,13879.8340838487,2864.92146830999,10624.3139740853,NA,NA,NA
NA,NA,NA,NA,NA,168.034650761403,NA,572.279387369193,1497.52498675774,378.902353226111,NA,NA,3353.34970660205,5874.47226737707,223.091170594323,NA,NA,NA,NA,NA,NA,78.1925449194668,320.475277655775,NA,778.508797538667,NA,NA,163.982370911233,1814.83450913004,4404.22228632323,1433.22159892249,578.533751044344,76.2843189801336,NA,228.285971096561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231.61378370685,1700.11921699618,1712.703620998,685.717381238464,509.839130459166,203.555131075256,346.891567107631,139.176723750696,NA,NA,5180.87617846833,NA,365.380643500449,NA,NA,916.627209951612,167.171985786703,NA,NA,NA,NA,NA,146.305490106201,NA,NA,2688.73913177125,1040.80668465528,73.1527450531005,NA,NA,77.9403969520005,NA,544.158628148113,847.560124431997,1153.5346994773,76.1151497386701,363.343125915034,77.9403969520005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.4844341821687,680.567124146408,1285.97885154827,214.74053473829,74.343334618234,NA,4828.18307021747,303.798083641688,NA,73.4439737420167,1446.18784503473,30654.893036308,387.159529006495,79.5369739156108,NA,NA,NA,NA,NA,NA,NA,NA
