"V1","V2"
58.01241,-158.92145
57.67773,-159.01475
57.33868,-159.07895
57.00003,-159.1196
56.67958,-160.37585
56.99395,-160.3411
57.33708,-160.2968
58.32987,-159.53695
58.21764,-161.548
57.99849,-161.4858
57.65021,-161.50546
57.32202,-161.53776
56.99411,-161.5705
56.68502,-161.54845
55.6884,-163.9922
55.97489,-163.9446
56.00386,-164.6041
55.64486,-164.58226
55.34384,-164.54315
54.68367,-165.15216
54.99934,-165.16305
55.31336,-165.17061
55.67701,-165.1866
56.00924,-165.1806
56.33491,-162.64335
56.66372,-162.77655
56.99085,-162.78891
57.3515,-162.77685
57.66909,-162.7567
58.00483,-162.74315
58.33764,-162.7228
58.64544,-162.72545
59.32716,-163.99641
55.33972,-167.57105
55.33521,-166.9958
55.0007,-166.96491
55.00013,-166.3456
55.34538,-166.35465
55.65904,-166.3841
55.67851,-166.99045
55.98558,-167.0202
56.00747,-166.3803
56.35282,-163.982
56.65508,-163.95015
56.99173,-163.9029
57.33734,-164.00831
57.67302,-163.94115
57.98945,-164.00461
58.33239,-164.01671
58.65485,-164.0248
59.00261,-164.01251
59.33185,-165.3286
58.98755,-165.30446
58.661,-165.3212
58.32649,-165.2855
58.0034,-165.2504
57.65912,-165.24801
57.31313,-165.2287
56.98375,-165.22665
56.65278,-165.2209
56.31957,-165.19741
56.34371,-166.4196
56.67687,-166.43395
57.00823,-166.4703
57.34184,-166.49474
57.67306,-166.5086
58.00957,-166.52875
58.33919,-166.54766
58.68305,-166.57211
59.00492,-166.59001
59.34737,-166.6078
59.66764,-166.67385
60.31508,-167.9832
59.992,-167.97975
59.65307,-167.94856
59.32789,-167.92105
58.99386,-167.89475
58.66722,-167.86905
58.32586,-167.84066
57.98297,-167.80915
57.65545,-167.7682
57.32575,-167.7375
56.99089,-167.70745
56.64904,-167.6695
56.34662,-167.656
55.98256,-167.6242
55.66376,-167.59661
56.33354,-168.87046
56.69678,-168.90841
56.83794,-168.6103
56.99594,-168.94655
57.15928,-168.63065
57.3279,-168.98515
57.49192,-168.7446
57.65625,-169.0215
57.82825,-168.7323
57.99587,-169.05215
58.32807,-169.1126
58.66659,-169.14255
58.9876,-169.1729
59.32268,-169.23645
59.66179,-169.2718
59.99365,-169.31295
60.32993,-169.31555
60.32752,-170.6647
60.00263,-170.6345
59.67208,-170.59195
59.32222,-170.5337
59.00159,-170.48271
58.66937,-170.43465
58.33697,-170.39145
58.33374,-171.025
58.00389,-170.96765
57.99834,-170.33505
57.8313,-169.96255
57.67131,-170.25825
57.5033,-169.99681
57.34198,-170.19835
57.16291,-169.8768
56.99501,-170.17305
56.83551,-169.8778
56.66844,-170.11476
56.33362,-170.06731
59.04324,-171.7932
59.33031,-171.82774
59.63599,-171.88975
59.83161,-172.2512
59.99067,-171.98661
60.16613,-172.34129
60.34626,-172.0638
60.66404,-172.10555
60.66393,-171.43676
61.00052,-171.5111
60.99943,-172.177
60.99943,-172.82995
61.34225,-173.59606
61.67468,-173.65921
61.99638,-173.74865
61.98991,-175.1679
61.66274,-175.80485
61.33857,-176.30156
61.00426,-176.972
60.67443,-176.80445
60.33245,-176.72175
60.00673,-176.7157
59.65477,-176.53545
59.32658,-176.38326
58.99913,-176.30365
59.01314,-175.73835
59.34333,-175.74965
59.67713,-175.86205
60.01065,-175.9277
60.33309,-176.04715
60.67228,-176.20691
61.00997,-176.28625
61.00095,-175.5547
61.34033,-175.67149
61.67289,-175.09246
61.32625,-175.0262
61.0053,-174.88765
60.66594,-174.8265
60.3241,-174.71925
60.16935,-174.3509
59.99979,-174.61845
59.83971,-174.2289
59.67166,-174.4493
59.32992,-174.44516
57.3543,-158.399
57.66439,-158.35311
57.99518,-158.34555
57.99462,-159.58655
57.66564,-159.6378
57.32882,-159.67591
56.99293,-159.728
56.68457,-159.7278
56.33606,-160.99266
56.67312,-160.9893
57.00394,-160.95565
57.33185,-160.92625
57.65844,-160.87285
57.99915,-160.83936
57.99885,-160.2192
58.28296,-159.96855
58.31914,-160.74825
58.32404,-162.04925
57.99711,-162.1151
57.66159,-162.15766
57.33876,-162.14625
57.00189,-162.1626
56.67087,-162.175
56.33665,-162.1964
55.99277,-162.26576
56.00038,-162.83825
55.66693,-162.84735
55.9987,-163.4045
55.66514,-163.4139
55.34023,-163.43775
55.32592,-164.0292
55.02835,-164.5987
54.83456,-165.5132
55.33105,-165.78585
55.67716,-165.79925
56,-165.7838
56.33302,-163.40475
56.66946,-163.38391
56.99923,-163.39055
57.33442,-163.39391
57.6681,-163.3766
58.00941,-163.37946
58.33343,-163.3641
58.66582,-163.35135
58.98751,-163.3606
56.33702,-164.59605
56.66661,-164.5988
57.00131,-164.6007
57.33511,-164.61755
57.67178,-164.61195
58.00089,-164.61316
58.3317,-164.6366
58.66632,-164.65441
59.00704,-164.65105
59.33388,-164.66655
59.61677,-165.9362
59.33326,-165.94995
58.99621,-165.93645
58.66481,-165.9452
58.33122,-165.9236
57.99835,-165.90216
57.66398,-165.8849
57.33221,-165.8656
56.99619,-165.8564
56.66314,-165.8475
56.3331,-165.80381
56.339,-167.03425
56.66937,-167.0653
57.0002,-167.0837
57.33366,-167.12285
57.66964,-167.1378
57.99705,-167.17435
58.33087,-167.1822
58.66291,-167.21795
59.00326,-167.24195
59.33554,-167.28046
59.66746,-167.28435
60.33316,-168.68585
60.00435,-168.65145
59.66503,-168.6167
59.3302,-168.5682
58.99633,-168.53716
58.65992,-168.49835
58.33339,-168.4687
58.00182,-168.43335
57.66839,-168.40071
57.33743,-168.36746
57.00248,-168.33695
56.66746,-168.28971
56.3287,-168.25081
56.00195,-168.2207
55.66504,-168.18875
56.34326,-169.47106
56.68361,-169.4986
56.83495,-169.30005
56.99803,-169.54895
57.16838,-169.3166
57.33782,-169.6008
57.50217,-169.36635
57.66866,-169.65109
57.83777,-169.36755
58.00207,-169.69735
58.33811,-169.7328
58.66836,-169.7834
59.00136,-169.84336
59.33612,-169.86936
59.67114,-169.91841
60.00262,-169.96575
60.33598,-170.0324
60.32419,-171.3694
59.99881,-171.30435
59.66401,-171.25351
59.33388,-171.18705
59.00019,-171.1309
58.66589,-171.08385
57.83405,-170.61695
57.66681,-170.90195
57.49963,-170.58376
57.33258,-170.84915
56.99607,-170.7793
56.83143,-170.46505
56.66502,-170.7305
56.33418,-170.6889
59.00393,-172.4371
59.33658,-172.49845
59.50202,-172.88235
59.66418,-172.56675
59.83612,-172.9097
59.99169,-172.6389
60.17791,-173.03915
60.29961,-173.3828
60.67317,-173.43926
60.66791,-172.78431
61.00178,-173.47611
61.00093,-174.18521
61.33278,-174.333
61.66661,-174.43356
62.00061,-174.4995
61.99459,-175.83645
61.66402,-176.471
61.33437,-176.96815
60.9963,-177.6339
60.6588,-178.1869
60.66595,-177.4898
60.32981,-177.3853
60.00033,-177.21405
60.00283,-177.93985
59.66633,-177.1275
59.32975,-177.07531
58.99923,-177.59316
59.00475,-176.94835
58.66453,-176.8397
58.66618,-176.18515
58.66703,-175.55206
58.75268,-174.91195
59.00509,-175.02455
59.32986,-175.1114
59.67838,-175.1197
59.99288,-175.2698
60.3301,-175.38865
60.67198,-175.4549
60.67372,-174.1358
60.33258,-174.065
60.12741,-173.7693
60.01076,-173.31301
60.00135,-173.94836
59.8335,-173.5812
59.66581,-173.2391
59.66799,-173.8689
59.49799,-173.50486
59.33439,-173.8009
59.33401,-173.15611
58.99902,-173.08385
58.66862,-172.99465
58.66933,-172.36455
58.66788,-171.72455
58.3351,-171.65365
57.99959,-171.59781
57.66431,-171.52575
57.32372,-171.45925
56.99381,-171.3987
56.66282,-171.37281
56.67459,-171.96235
57.00447,-172.03236
57.341,-172.09335
57.68009,-172.18175
57.99253,-172.22521
58.32721,-172.30115
58.33499,-172.87965
58.36344,-174.3129
58.66772,-174.26675
58.98778,-174.3686
58.99707,-173.71466
58.6722,-173.62835
58.33107,-173.56841
57.99698,-173.45035
57.99914,-172.86521
57.67039,-172.8021
57.667,-173.41245
57.34545,-172.8168
57.31649,-173.33215
56.99856,-173.25205
56.99566,-172.64385
56.66215,-172.57055
56.32973,-161.61895
57.66906,-160.26285
57.11572,-170.46095
60.34203,-167.31331
