"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123"
24612.3049218457,4005.76277320338,4212.95739940356,11810.09369341,19682.7107399107,25256.8619697301,13077.7742500078,60431.765975051,NA,7320.87679240618,40886.4062368345,13209.8729798059,9180.86172096508,3962.96189394176,1657.5570096014,5663.31978280478,5878.39347601361,2103.70321889967,3764.81379924467,2949.56169066373,552.519003200466,483.454127800408,3830.8631641437,990.74047348544,522.287106635311,138.129750800117,NA,66.0493648990293,NA,NA,207.194626200175,660.493648990293,3176.98426840268,69.0648754000583,NA,132.098729798059,1783.33285227379,18233.1271056154,46895.0490783108,4491.356813134,414.38925240035,NA,NA,276.259501600233,4696.41152720396,17818.737853215,4558.28177640385,3170.36951515341,4227.15935353788,10832.0958434408,22324.6853358719,12219.1325063204,14134.5640883923,35534.5583156778,98281.4549697557,10237.6515593495,2377.77713636506,6077.52269539271,7942.4606710067,2210.07601280187,3302.46824495147,3038.85451760257,5248.93053040443,4903.60615340414,12777.0019490108,5939.57928440501,1657.5570096014,5939.57928440501,147290.083724835,7925.92378788352,100144.069330085,2047.53031186991,119136.541936624,2071.94626200175,5495.30715959924,2492.42703641238,3302.46824495147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,114.668405345474,8988.25357824418,99.0471564502331,57.3342026727371,134459.958010778,227640.236494513,89511.2046771298,46543.4382636305,NA,NA,NA,35680.1853337632,28037.1806205558,17266.2188500146,25318.2632279064,569.575552298427,8811.81354263315,3315.1140192028,10786.8751987406,12707.9370736107,6768.35778920571,20166.943616817,4005.76277320338,43847.5205557134,84746.0608595399,NA,11882.1978458337,8609.24294196792,6671.32412151583,27030.7207512602,17904.4630762777,3165.73229022876,9620.94002660443,7426.69054685254,7292.53534562743,17397.0609427767,5801.15141001376,38287.286953844,30044.3390304489,16713.6998468141,7784.19921474517,4709.76241071772,16715.0664924079,9254.69330360781,6920.32528229442,4558.28177640385,1899.43937413726,7873.39579560665,1381.29750800117,3206.98000886814,3038.19158734877,3190.484213712,NA,NA,NA,NA,506.517166436602,886.405041264054,108.511489304999,379.887874827452,552.519003200466,5751.10893316495,1519.42725880128,151.927819700572,NA,NA,3154.8996116786,2348.20576360198,NA,NA,NA,NA,253.258583218301,126.629291609151,126.629291609151,3646.26767281372,605.643705358191,2659.21512379216,7182.74704160606,8004.47306667072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,20331.5752752621,7361.43242725006,17553.9958380151,8507.95790323201,NA,3855.98841427384,4178.76662310197,2582.77293490972,1823.13383640686,18994.3937413726,3472.36765775997,1266.29291609151,414.38925240035,253.25861528826,NA,NA,NA,2103.26640778573,3494.33985311315,6906.48754000583,5751.10893316495,5608.71042076195,7977.64537137649,15195.5149930981,12695.8442486849,4673.92535063496,8659.88572293258,5318.43024758432,16461.8079091896,9115.66918203429,NA,3038.05147791272,3972.83654803971,1161.94854480693,3292.36158183791,3453.24377000291,1772.81008252811,3950.12331221486,5191.80095597517,8610.79182942224,6078.20599723923,5663.31978280478,8230.90395459479,7091.24033011243,6768.35778920571,4558.28177640385,6492.09828760548,6630.2280384056,33303.5036932066,3176.98426840268,2453.81080908335,16968.3250756262,10130.343328732,1646.18079091896,1139.66362448236,NA,151.927819700572,NA,NA,126.629291609151,325.534467914997,NA,138.129750800117,NA,3292.36158183791,15746.7915912133,8978.43380200758,2170.22978609998,2026.06866574641,13503.0737215501,2886.62857431086,2700.61474431002,NA,414.38925240035,1933.81651120163,701.088802595244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
625.664601049883,506.365264558128,379.819520398853,506.426040021837,987.530753037018,759.547896837192,531.747328558394,983.187230221245,NA,178.761314585681,357.522629171362,89.3806572928404,474.806438033439,1085.11489304999,325.534467914997,75.9639040797706,NA,NA,151.927808159541,NA,94.9612876066878,168.788421519376,NA,NA,75.9639040797706,178.761314585681,NA,959.489551558571,506.426040021837,4282.02227480361,1139.66362448236,828.778504800699,2804.35521038098,2026.06866574641,633.146458045753,2336.96267531748,2061.71829679498,1410.64936096499,3418.99087344707,7471.12820493988,12154.2255760457,6204.83528884838,3545.62016505622,4972.6710288042,3798.87874827452,25452.4876134393,17728.1008252811,7478.28056101593,6076.64340107995,3729.50327160315,1139.66362448236,5859.62042246995,6492.09828760548,138.129750800117,506.517166436602,303.855639401143,8287.785048007,7127.73615971831,4709.76241071772,1671.20601670629,1844.69531818498,2025.70416008735,4938.54237275687,3972.83654803971,5110.80077960431,12293.5478212104,7974.05773217798,7711.97682854768,3315.1140192028,3146.83318984497,2658.91605298726,1736.18382887999,2624.46526520222,2604.27574331998,868.091914439993,4282.02227480361,976.603403744992,13977.3594124526,18785.6461088159,3292.36158183791,18509.3866072156,5824.94741402093,6192.95108959132,3798.87874827452,3453.24377000291,NA,138.129750800117,126.629291609151,337.576843038752,3713.34527342627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12291.9118772224,4575.85197911996,3237.10773291082,4752.68909497908,2278.91724934445,14138.5746587122,6666.61206723119,1270.85652823537,20285.4922822778,6157.52771107961,1864.34170830502,3760.58924362305,4270.62663157327,3164.7829034883,1994.18703974044,9510.98586190614,NA,6666.005897296,843.94210759688,1682.08324608164,15144.3736281382,4321.01629470885,19204.7352001788,28453.5907595413,NA,4781.61025742464,3497.43221814433,159.914925259762,79863.3865114437,NA,645.196807148349,NA,1012.85208004367,9278.52293217901,2939.80347967716,NA,1055.11751184419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415.949866236563,4931.93424145987,2031.71989944036,NA,NA,NA,NA,NA,241.308476993412,1386.49955412188,NA,1025.61524826083,NA,536.283943757043,NA,3146.9504596405,1627.67233957499,976.603403744992,2072.26674681729,2765.12917349292,1627.67233957499,5151.07300514064,824.915164234858,3004.07348105736,379.887874827452,3154.8996116786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2921.20334414685,949.292587164045,651.068935829995,217.022978609998,NA,2363.03790127126,2659.21512379216,690.648754000583,138.129750800117,253.258583218301,1844.69531818498,NA,151.927819700572,276.259501600233,NA,233.696267531748,868.091914439993,2152.69795735556,886.405041264054,NA,89.3806572928404,94.9612876066878,138.129750800117,NA,NA,253.258583218301
1728.43061865717,1304.41641637218,904.436841547368,1047.93407656311,1013.0343328732,104.793407656311,96.1621031498185,452.218420773684,424.389602556591,565.649663587943,NA,NA,NA,715.954968978069,234.621884543978,715.045258342724,404.035473991388,1196.92864427023,787.836879049482,454.850162804519,1932.00586381343,888.444271888824,7918.14333901844,1399.35503726333,1077.63428239148,112.548125578497,81.6749773678638,377.424967208847,345.239651556524,NA,NA,NA,539.367974001744,2304.21530587818,1528.20925967161,17065.357823093,738.504751539571,1266.11767804147,629.262636335369,NA,NA,NA,347.943480061099,93.7901011301145,NA,NA,NA,NA,NA,NA,NA,86.3099104059975,776.346884209415,509.913586984068,2410.24837609516,1487.60727507962,1403.5490968079,260.447662651519,NA,77.5124818349499,2293.00078707252,350.544401297622,1467.26847690196,1335.48647139684,1450.802229627,2184.10961495382,2142.66068591633,2371.09810558921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330.246846307741,893.593659506189,2772.71522840302,217.022978609998,467.392535063496,313.329981746962,1587.10077046941,2829.4220067204,10509.586940749,3695.03785155719,3863.2079280238,364.626734043205,1663.60046616303,2278.91729550857,1133.64340747815,1899.43937413726,1705.2746003689,NA,NA,NA,1552.69376841883,2762.69922514787,2056.29942187142,3826.63626966891,9023.09913378248,2864.77062030754,1622.15593667044,22146.1995559971,58823.0608457163,3107.15686400872,3388.6866183061,132.098738523096,NA,NA,4755.22756083502,701.088802595244,NA,NA,NA,NA
8124.13423897384,1138.33604379276,534.927846257458,3477.50934557758,5064.39536974992,18425.3519895832,8270.37899901614,1301.84614802251,2721.89688575215,1872.2474619011,392.130182515033,203.225865124887,1370.61841846168,1535.41668905816,1748.67845722938,238.428211729749,234.059161926175,250.958488518857,NA,NA,1198.33289503876,1094.70338039948,760.23536462974,800.198072952978,1986.85511804962,1204.242942676,1342.01471241226,1447.60556170057,872.875558181758,741.169562709183,462.90760883539,612.120901916389,335.868356671039,677.425378290384,485.679727437568,NA,1210.48492759101,696.3247063871,916.559235343877,3968.0079992799,1224.22450198119,1351.22488154773,1608.35122043224,14979.2656032206,5017.4534051054,3802.68653065205,2520.49248555054,1056.81446809395,497.76849037734,279.908115969703,840.447566343997,1000.21058979327,1625.80692099909,3925.81250774857,686.227819401307,9979.70500869331,932.624335356789,3679.97889491215,2530.43258815662,103.127708713724,2505.20629380386,262.436424776098,NA,479.870626878993,109.667088007619,NA,NA,NA,107.955709658733,NA,NA,NA,NA,74.7119034291867,NA,479.870626878993,172.772847848542,NA,NA,NA,NA,NA,85.8360109876961,157.032500309943,83.7575233101375,NA,NA,NA,1732.78139685892,2774.65400835253,10101.8185604598,1339.9632331955,78.9770887465546,142.304017306445,1382.23084055276,200.798172736628,357.776581690912,1618.9903684644,407.221436918305,851.840719676977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,286.315896766799,NA,3151.91695291007,1030.95675953795,1697.96308489329,5766.14394169275,257.554757107191,682.428593515427,1577.60877330776,823.330779178294,2464.26114674103,1090.21489303629,226.763471488726,NA,77.9757009001827,NA,NA,690.293289051479,1281.9492105217,1060.52583557593,1073.6846128755,625.960105434216,2282.37972893032,238.489938944191,3518.04868154454,2637.66303055493,3271.08316685337,1289.91769103104,498.07900267649,455.950581731063,77.3644470445775,936.49955508467,375.500796024138,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.845712915541,164.634405841426,402.497793976674,225.372681901109,3449.82261751348,1598.90446111856,2296.58730294489,724.582182364728,2351.61735423059,NA,NA,NA,NA,5279.28463829874,8033.85017217286,512.105141330777,NA,NA,NA,NA,1212.14549824492,225.116672343359,925.284010143889,738.348655175451,2853.85234393277,516.844058622816,1106.13391815863,2020.45176104072,897.86697823195,675.912397247234,NA,NA,NA,NA,NA,NA,75.335082915299,1013.24088716477,234.681240684621,297.747273900397,374.157733526059,796.614648454318,764.944783608212,7517.32963432059,296.457019920652,NA,2846.59035407389,4283.69078820599,1051.69973607946,994.428218690676,308.072042030885,73.6982403439644,NA,75.1013774719149,155.74636735226,NA,NA,NA,NA,NA,NA,NA,81.8210016674302,73.6173737001932,226.855708048803,NA,NA,NA,362.632938515513,1693.2695779709,1275.68385690824,696.30905909691,3086.33239528902,4821.96895379242,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,95.6302887135794,87.0648531289933,219.990830782173,693.431852021643,1812.45774707877,615.287629826789,NA,NA,NA,82.4521806210661,1839.12034260973,1161.22487092302,707.536434392151,2694.41555432211,697.98559032015,307.314830522017,405.459265737597,336.801944290264,268.969282811339,131.835819053756,271.053100928791,69.6285830346615,NA,NA,NA,NA,NA,NA,NA,81.3314147794796,98.7501294861073,164.477917893775,239.982318102802,359.638491388456,1337.63954181387,5619.54302859512,2252.12626146314,1052.62176503016,3744.40083361596,2964.04265957979,8859.37750204966,1498.60577211991,76.0783555328707,NA,78.777623373636,NA,NA,NA,NA,NA,NA,1097.58262131581,6558.31658969389,221.842821698713,NA,NA,NA,74.411228594866,8015.96086131283,1417.23313723799,573.952198247681,1480.59889446018,NA,242.857736123898,2473.83117661483,285.772562904792,566.259071027928,147.692914823798,725.725158689885,286.56556967695,76.8146559905561,NA,NA,NA,80.3600063998709,214.573672153745,139.087755402499,285.210705469393,359.595478101247,1920.45421729612,5898.78346400926,4789.21898913356,3356.60479872157,NA,1822.87050626874,5581.57633284056,NA,3083.52916079511,3943.98998434906,9612.42024999815,2215.69457951049,143.117371128532,76.5662722048889,NA,NA,75.7845194507411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,987.477863743995,1200.33654435862,2368.7208261524,15504.7902692749,2375.78853469609,3132.81053082001,NA,NA,NA
NA,225.190522689929,81.5041426518106,NA,NA,NA,1513.6320730138,858.41908105379,7487.62493378872,530.463294516555,NA,13427.3270837445,2807.455568318,5239.39418441739,1115.45585297162,159.704202164579,NA,NA,NA,NA,NA,1329.27326363093,1201.78229120915,1231.79485416297,454.130131897556,NA,NA,983.894225467397,2160.51727277386,6679.7371342569,1091.9783610838,867.800626566516,NA,319.824326893724,76.0953236988537,71.8106244680628,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.645019997099,NA,NA,617.636756551601,1622.84107076909,1089.90230427145,257.144017964424,849.73188409861,2035.55131075256,1179.43132816594,208.765085626044,NA,588.249438753936,6907.29575516203,1473.82298948529,1680.75096010206,145.297482056777,NA,1604.09761741532,NA,NA,NA,NA,NA,NA,365.763725265502,1037.59956972228,224.720851757946,2979.41363250328,669.090011564106,731.527450531005,NA,NA,NA,249.041336130012,77.7369468783019,762.804111988797,1230.43701277578,456.69089843202,145.337250366014,NA,NA,159.609467554787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.6193743079974,NA,NA,156.968868364337,680.567124146408,1059.0414071574,930.542317199257,1635.55336160115,NA,2489.53189558088,759.495209104221,NA,440.6638424521,608.92119790936,2513.07965568148,154.863811602598,NA,NA,NA,NA,NA,NA,NA,NA,NA
