"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271"
2840.12269065826,13341.9717096039,1254.93793308156,1588.49213420134,NA,69.0648754000583,NA,8287.785048007,2113.57967676894,2911.81867320197,4755.55427273011,1519.42725880128,4420.15202560373,NA,NA,2486.3355144021,138.129750800117,198.148094697088,138.129750800117,94.9612876066878,414.38925240035,6215.83878600525,NA,13738.2678989981,21796.2904166797,NA,264.197459596117,NA,5548.14665151846,NA,12431.6775720105,1981.48094697088,69.0648754000583,52263.1673302536,330.246824495147,NA,NA,NA,NA,NA,NA,NA,138.129750800117,966.908255600816,NA,NA,66.0493648990293,207.194626200175,NA,1851.97135227686,NA,1055.25088818232,792.592378788352,1188.88856818253,NA,NA,NA,202.570416008735,239.606772225422,666.490931323125,NA,2210.07601280187,4953.7023674272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,121.031234530695,242.062469061391,2149.94166965704,NA,NA,NA,NA,NA,815.078633026297,NA,NA,NA,NA,NA,NA,60.515613603208,NA,NA,NA,64.0911879167089,NA,NA,172.002608018211,NA,76088.2069267051,4558.65449792942,5162.80132698071,379.887874827452,552.519003200466,5608.71042076195,1063.494737904,10582.0872285972,NA,759.775749654904,552.519003200466,168.788421519376,303.855639401143,414.38925240035,276.259501600233,126.629291609151,NA,276.259501600233,455.783459101715,NA,434.213411549643,22929.5386328194,NA,7140.60752592686,12610.0090351474,NA,22980.3440213811,NA,1392.92220770066,25239.1968934288,30011.1421113687,8978.43380200758,8425.91479880711,1139.66362448236,506.365264558128,NA,52211.0922940225,14641.7535848124,9419.52482143544,101864.048690734,5317.47368952,690.648754000583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3925.50803988367,3925.50803988367,3925.50803988367,1381.29750800117,1139.66362448236,NA,NA,NA,NA,217.022978609998,NA,NA,138.129750800117,303.855639401143,NA,NA,NA,253.258583218301,1933.81651120163,828.778504800699,9254.69330360781,78510.1607976734,12916.1877441334,6660.34362465482,NA,7361.36593497307,NA,168.788421519376,506.365264558128,3154.8996116786,11188.5098148094,8439.4210759688,NA,949.612876066878,511139.135580336,828.778504800699,NA,NA,NA,NA,584.24066882937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3672.24945666537,1168.48133765874,126.629291609151,NA,1890.99320038693,NA,828.778504800699,9117.30899585884,183942.530816066,16709.28312852,607.711278802286,43755.2120737646,5191.80095597517,506.517166436602,4178.76662310197,1012.73052911626,22280.0716405576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1519.27808159541,2558.63880415619,3181.93352349366,15597.9220326726,18948.6993460822,12385.9021791826,9283.36318356568,8659.88506509385,715.752179404463,1145.53567352294,2063.68611308899,NA,NA,NA,NA,NA,268.141971878521,1183.37044692224,NA,NA,NA,NA,379.819520398853,75.9639040797706,239.872387889643,561.507165245082,NA,227.891712239312,NA,5258.16601946433,1097.12473987594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.9639040797706,79.9574626298809,NA,7292.53479165798,5836.89477198131,2658.73664279197,42858.8346818066,6160.77738545722,4304.10474874409,19579.4568962476,51520.777141144,8869.8092614729,804.425915635564,NA,NA,NA,NA,NA,NA,531.747328558394,474.806438033439,7596.39040797706,719.617163668928,NA,106147.727286756,7444.46259981752,1234.49673888694,1340.70985939261,8356.02944877477,2592.03906149237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2228.27457609608,2912.47370701046,5939.57928440501,13260.4560768112,3867.63302240326,23620.1873868199,30146.8185115955,22929.5386328194,1243.16775720105,467.392535063496,NA,414.38925240035,3739.14028050797,1139.66362448236,4558.28177640385,6906.48754000583,3798.19549251429,108.511489304999,151.927819700572,379.887874827452,NA,138.129750800117,1795.68676040152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4113.48615909673,9840.27981978774,24814.78450312,15384.0085348491,68087.542057364,NA,NA,325.534467914997,319.829850519524,4017.79606109794,NA,6956.29924879964,2430.84499210482,NA,NA,NA,NA,16927.7923315799,NA,8069.02945222595,2233.83741868442,NA,NA,9907.05089419178,NA,301.863516788343,NA,3155.03472299222,NA,1316.70770405678,NA,NA,NA,NA,101.285208004367,NA,NA,NA,116.848133765874,NA,NA,NA,NA,NA,NA,NA,NA,NA,25218.0701144818,64195.3970728375,76227.2475440869,1620.56332806988,NA,NA,NA,14199.0194101132,12101.3472488491,2785.0089550697,NA,NA,NA,753.87580773952,36016.8595598469,1687.88421519376,2037.87898627676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2076.34676408953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4089.68468180559,217.050896192298,NA,NA,759.580425134994,949.612876066878,268.141971878521,NA,NA,NA,303.855616319082,NA,NA,NA,4456.54915219217,1899.09760199427,NA,NA,NA,NA,217.050896192298,6305.00403862096,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924.41895208298,4938.54237275687,1266.29291609151,4907.62161816671,2026.06866574641,1795.68676040152,NA,NA,542.557446524995,189.858517432809,NA,NA,NA,NA,NA,NA,NA,168.788421519376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12773.8667400876,9684.04256358818,417.339522311513,719.157298668993,8232.36033041166,6352.92895804968,6860.69809890056,530.053925036064,NA,90.9700325609038,NA,92.071434174633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.3936675416514,671.52819503462,NA,NA,NA,NA,NA,NA,93.7901011301145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1920.46486876045,NA,NA,NA,180.887368309474,26706.3086890369,59950.2478821971,8105.00087942939,859.875295152195,1850.47968329138,382.16679784542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.324206299637,387.029293763458,3971.35225338498,849.206176219906,4463.18051751433,10750.950190944,24613.3857360447,1316.70770405678,759.690300853503,6151.18895492511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4065.4264049231,1185.39771063063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25236.9393766018,22100.7601280187,4253.978951616,1068.04414297646,516.844798949441,941.037797993062,115.079883852175,NA,NA,NA,NA,NA,14023.0692473442,5026.50969790791,111433.776616053,5101.7080962333,NA,NA,2205.02949662898,38205.1492806734,37944.2102426591,1861.07297723897,123.516382966004,NA,666.608343324999,400.817149046906,754.343997674034,5186.81510641742,39950.6621577157,14426.9969397944,206405.123663186,3391.63830917876,494.065531864015,41262.4042646725,68578.1295287444,198338.49596313,42144.5451427968,39573.2216489078,187397.911167116,5317.47368952,257.547195201587,NA,NA,143.336891432768,2285.37750941172,562.740580390939,268.867942283732,NA,NA,NA,NA,65920.8786738534,27996.3438744492,1779.09229889791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
557.410680233894,197.426135725927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1079.37899625617,NA,NA,NA,103.608390124546,NA,6389.18438866686,1172.57781519526,NA,79.4479700805301,347.73966608994,93.1831494301757,NA,NA,NA,NA,NA,NA,NA,NA,3126.58087745616,NA,NA,91.8626671498643,166.045986768127,183.725334299729,4427.38229693479,2425.05104181295,4827.06142427749,695.185057914824,10359.873423781,9839.41432719049,1853.10405792727,381.100436657258,1174.10434140965,2335.35321925522,68.1266433423749,1393.78427962658,7555.80556077066,420.02253000851,298.200649823946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666.259508078397,4683.91620530683,4089.60895542569,634.227794187443,2395.97166693034,1489.20246980168,125.485826219071,134.474402427693,NA,NA,NA,NA,NA,135.382042709244,150.216969635517,3452.24208908572,67.2372012138466,67.2372012138466,2743.70364598431,3566.8147397796,1201.73575708414,1071.71104383941,70.9684273531339,NA,1714.81477874019,293.945580825812,72.9797881017257,116198.921776916,2215.70032589787,857.281157747293,144.905107441341,67869.3964510921,802.777669118982,130057.018594145,62632.186698058,1820.09763003688,73476.5083505355,5110.80713319495,450.169282943356,381.100436657258,NA,NA,NA,NA,24884.5086732983,598.273836396276,NA,NA,NA,NA,NA,NA,375.542424088793,NA,14800.8389189196,450.650908906552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600.867878542069,NA,131.052418411843,27259.6386374109,13860.7434902808,2017.1160364154,583.838304813805,38723.5746399435,44579.9258897319,3354.75731051939,16990.3228154383,1102.2959280968,1820.0395534161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12243.564778325,2988.08012152664,1025.22732951421,292.159640409915,1178.26105579676,142.280024588834,76.3856918294121,NA,NA,NA,76.833388717401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.1599744590944,301.297204986348,76.0813480032374,993.1617502953,2119.706353546,5215.59520122374,32801.3595823958,10732.8954075078,381.06886463123,156.478397335736,531.167698884856,722.373980956055,73.2634975905834,74.4902261374285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.356556510737,NA,NA,4241.75880287002,444.820828764962,1159.87751693421,1021.26186970726,24263.606982343,4903.22182204044,NA,2356.58967417718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17897.2147258981,1418.91525977934,1617.0199200684,48059.6366691468,5400.50991614628,11326.3703468986,24988.9173292453,70405.8997873593,18567.5945872304,1348.57848870091,NA,67.6349603216124,NA,NA,NA,965.611842591661,11752.0165165629,35404.8292911813,4464.98735515581,148936.469524797,148.70523098904,NA,151.139569684486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1246.42505613505,329.121239707556,141101.21773298,3489.96371655164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.4446685462372,230792.425736709,83691.9412331439,8963.54337833289,40275.7657754811,2008.26884614713,700.225388548066,NA,5470.01149766028,7841.96503037147,262.234759374696,87.411586458232,149.433430619478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.078262369051,NA,78.5573600704879,NA,NA,74.2989025532001,313.55440015985,611.138238858492,NA,NA,1568.55497870758,654.882945494675,230.311389443278,NA,2494.18309735763,2390.59749318759,806.777316713505,356.513381836741,220.35572759625,NA,NA,73.3333098666742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.1026844603409,142.880534441781,4141.99980269019,50142.2412575232,3308.70031018313,10828.0707756886,3399.29312061184,1782.68637168951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,2456.30803699384,2991.54175563387,1089.27811973168,2378.59497099832,3359.1807019344,4626.08794495295,1143.01992899208,1827.34352636146,277.294822628367,374.206065700706,349.025581655495,985.443483679161,4053.19411962597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545.885556839842,NA,167.273325198832,NA,NA,6524.98516759413,2915.37844938795,47940.2135433115,8343.3141427518,3520.82700073477,1998.89394535024,NA,332.255010771043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.4935606725759,NA,137.868983931784,9051.79566792554,2492.17836742103,7827.20856900009,7108.80871876002,4168.43206829898,2483.0898134965,1319.8447158697,67.207968606889,NA,232.569054152133,NA,NA,NA,NA,NA,NA,NA,NA,75.803344898397,13911.2994492178,646.255338069092,998.271659001049,NA,NA,NA,NA,NA,NA,NA,NA,444.997526926244,319.456974256879,18549.5724640634,10142.9259008548,2373.32014360664,4480.66751989007,2725.23335547156,345.710315774568,NA,NA,NA,446.781409068144,150.951496340672,143.117371128532,623.918670953404,2349.34253649116,439.475442112295,413.860833914405,139.743332024637,3822.91672677542,2725.20290707876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2839.92056458189,2316.02845125151,NA,NA,6564.54390570757,816.638130835092,144.453780171248,1734.48829054182,NA,2627.36038225174,2816.34168924619,NA,604.433809095777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8203.0484741801,19415.5834239788,141215.18904313,7786.72582690604,5341.80305884998,18149.3817238468,2449.21868838515,1517.23402590532,NA,NA,NA,145.829640501499,NA,NA,NA,NA,NA,NA,NA,NA,2650.5754291801,67702.4027568303,19961.9387580644,29931.8067921826,20120.3981038183,5452.59005661315,72.6744555756678,73.3317557228285,71.8635460736238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3153.86548505663,18178.9953580914,7018.22970232776,5234.51030590195,8266.33577914458,716.371737616243,139.637871522266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,6647.88450127611,1811.26022682806,5628.14227747916,4729.66146711462,426.694066114965,1804.26538051228,4890.00380975751,219.828904232784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1030.54892998473,NA,1218.07959720257,467.902475087118,256.93088182447,NA,6157.06150818932,20653.8006283142,9671.16687085443,1935.78851233961,900.559558588276,171.67491020973,491.651994951717,620.457475705988,79.0014532317322,315.417762151982,616.343510426727,166.365060675417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.9078354288248,539.527104492912,2122.22106941078,76.0075542388007,1821.30422602187,3508.2747672206,5323.85129390172,28153.1401241176,14705.5116073357,8890.07933105308,2807.36306546771,285.830332829414,242.481301458574,476.189833712129,510.253061463699,NA,NA,NA,NA,148.370682190592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.015610181593,280.059798368148,1598.61902568821,560.610661981884,3901.60822594722,5143.60771630989,6264.42621691934,9133.38892991108,6774.76767646157,2336.76319137067,5176.30975568482,1524.66926914337,442.20655173227,601.767903836285,1063.29329274591,NA,155.880793904001,157.58723852239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530.977170181445,941.813210186024,5295.94085257881,740.511949974567,577.76433512758,NA,73.4169542653488,89.2866291077338,NA,1371.2752195556,1441.93885223033,3734.4258880361,NA,388.334524096429,79.8794204172917,79.5659708118601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.689775436806,154.793537927048,1566.17339911162,4098.36967613241,796.614648454318,4535.51166643331,1698.92199859768,7677.4949079929,6817.25735676753,1303.55124292525,357.691735110384,912.089323012224,986.912282084971,5614.70549940097,346.124311100131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.345967821373,1652.27212200858,8263.00357570607,11616.0946470625,25608.8083645225,2634.09838941258,32592.1106102771,4907.7218384095,3910.77437895273,1875.39311124832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2152.61232062012,4587.00765593773,663.309827598406,358.561274321032,284.167299234915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625.4572064083,NA,358.561274321032,293.103723692292,1331.24603815632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
