"V1","V2"
61.964,-176.52725
57.147,-169.88842
57.11833,-170.49075
60.16325,-172.24975
59.84109,-172.16692
59.53959,-173.3995
59.86167,-173.554
60.19975,-173.61392
59.50375,-172.80492
59.83575,-172.87533
60.17167,-172.995
59.83292,-174.23867
60.16583,-174.34992
61.22,-177.41325
61.66434,-173.49084
61.9985,-173.51475
61.99925,-174.40258
61.65708,-174.40942
61.326,-174.27567
61.39417,-173.532
58.50759,-159.53175
58.6775,-159.82784
59.2355,-162.65967
60.57583,-178.74175
